,x,y,distances,avgDist
0,41.41989498262144,2.1475706508078773,[214.87979029 254.05599572 310.04789813],259.66122804864193
1,41.392517724000946,2.20146199255664,[ 849.13106005  883.42575054 1016.87097882],916.4759298023137
2,41.373910050251254,2.185492462311558,[ 926.1257508   974.19457095 1070.15106249],990.1571280823279
3,41.38599112227806,2.2010854271356783,[888.51276501 911.37638125 960.85656081],920.2485690218313
4,41.37828204659662,2.1819877112836914,[611.35737515 627.85811896 636.26431156],625.1599352245213
5,41.38525301729885,2.154632952372483,[519.32505903 535.43257962 567.1911064 ],540.6495816823007
6,41.38028617159874,2.1682266890005586,[532.09858478 554.4732186  561.82673521],549.4661795298108
7,41.43495431323284,2.2092045226130654,[463.93623069 505.4849848  519.56357086],496.3282621180735
8,41.41899103517588,2.1799306130653267,[453.46504128 457.57929676 484.21348671],465.08594158076056
9,41.39921931532664,2.174281658291457,[475.84319516 488.02721422 511.87461468],491.91500801730143
10,41.419446398659964,2.214420100502513,[462.21474553 465.57538745 513.11841926],480.3028507481693
11,41.39841175106301,2.1835816003092385,[435.72512838 446.23111631 449.45071714],443.8023206110811
12,41.40266067839195,2.183072864321608,[426.62286385 442.33172108 452.25430297],440.4029626338034
13,41.3962135678392,2.179362814070352,[432.30192462 436.96151007 441.49174503],436.9183932376527
14,41.41085025125627,2.1812984924623118,[409.33785069 414.6505103  439.22770624],421.0720224101233
15,41.403880402010046,2.1806532663316585,[400.66729831 412.67669712 427.12212832],413.4887079170888
